Loja,Estado,Região,Meta de Vendas 
Loja 656,Minas Gerais,Sudeste,7000
Loja 657,Tocantins,Norte,7500
Loja 658,São Paulo,Sudeste,8200
Loja 659,Pernambuco,Nordeste,7000
Loja 660,Rio Grande do Sul,Sul,7500
Loja 661,Pará,Norte,8200
Loja 662,Alagoas,Nordeste,7200
Loja 663,Mato Grosso do Sul,Centro-Oeste,7000
Loja 664,Amazonas,Norte,8200
Loja 665,Mato Grosso do Sul,Centro-Oeste,8500
Loja 666,Amapá,Norte,8200
Loja 667,Paraíba,Nordeste,7000
Loja 668,Maranhão,Nordeste,7500
Loja 669,Roraima,Norte,8000
Loja 670,Bahia,Nordeste,8000
Loja 671,Paraná,Sul,8000
Loja 672,Goiás,Centro-Oeste,7200
Loja 673,Piauí,Nordeste,8200
Loja 674,Espírito Santo,Sudeste,7500
Loja 675,Paraná,Sul,8000
Loja 676,Goiás,Centro-Oeste,7500
Loja 677,Mato Grosso,Centro-Oeste,8500
Loja 678,Paraná,Sul,7200
Loja 679,Mato Grosso,Centro-Oeste,7000
Loja 680,Alagoas,Nordeste,7200
Loja 681,Mato Grosso,Centro-Oeste,8500
Loja 682,Acre,Norte,8500
Loja 683,Rio Grande do Sul,Sul,8200
Loja 684,Ceará,Nordeste,7500
Loja 685,Maranhão,Nordeste,7000
Loja 686,Minas Gerais,Sudeste,7200
Loja 687,Rio de Janeiro,Sudeste,7800
Loja 688,Alagoas,Nordeste,7000
Loja 689,Alagoas,Nordeste,8000
Loja 690,Mato Grosso do Sul,Centro-Oeste,8500
Loja 691,Tocantins,Norte,7200
Loja 692,Sergipe,Nordeste,7200
Loja 693,Goiás,Centro-Oeste,7800
Loja 694,Pará,Norte,7500
Loja 695,Alagoas,Nordeste,7200
Loja 696,Mato Grosso do Sul,Centro-Oeste,8500
Loja 697,Paraná,Sul,8500
Loja 698,Espírito Santo,Sudeste,8000
Loja 699,Amapá,Norte,8000
Loja 700,Paraná,Sul,8200
Loja 701,São Paulo,Sudeste,7800
Loja 702,Bahia,Nordeste,7000
Loja 703,Espírito Santo,Sudeste,7800
Loja 704,Mato Grosso,Centro-Oeste,7500
Loja 705,Maranhão,Nordeste,8500
Loja 706,Rio Grande do Sul,Sul,7000
Loja 707,São Paulo,Sudeste,7000
Loja 708,Piauí,Nordeste,8200
Loja 709,Sergipe,Nordeste,7200
Loja 710,Roraima,Norte,8500
Loja 711,Sergipe,Nordeste,7000
Loja 712,Minas Gerais,Sudeste,7800
Loja 713,Piauí,Nordeste,7500
Loja 714,Mato Grosso do Sul,Centro-Oeste,7000
Loja 715,Tocantins,Norte,7800
Loja 716,Pernambuco,Nordeste,7000
Loja 717,Pará,Norte,7000
Loja 718,Paraíba,Nordeste,8500
Loja 719,Minas Gerais,Sudeste,7000
Loja 720,Tocantins,Norte,7500
Loja 721,Ceará,Nordeste,8000
Loja 722,Goiás,Centro-Oeste,7200
Loja 723,Amapá,Norte,7200
Loja 724,Mato Grosso do Sul,Centro-Oeste,8500
Loja 725,Santa Catarina,Sul,8500
Loja 726,Pernambuco,Nordeste,7000
Loja 727,Paraíba,Nordeste,8200
Loja 728,Acre,Norte,7500
Loja 729,Maranhão,Nordeste,8200
Loja 730,Paraná,Sul,8000
Loja 731,Pará,Norte,7800
Loja 732,Ceará,Nordeste,8000
Loja 733,Pará,Norte,7800
Loja 734,Bahia,Nordeste,7800
Loja 735,Acre,Norte,7000
Loja 736,Mato Grosso,Centro-Oeste,8200
Loja 737,Paraná,Sul,8200
Loja 738,Paraná,Sul,7000
Loja 739,Mato Grosso,Centro-Oeste,7500
Loja 740,Santa Catarina,Sul,8500
Loja 741,Maranhão,Nordeste,7200
Loja 742,Amazonas,Norte,7800
Loja 743,Goiás,Centro-Oeste,8500
Loja 744,Piauí,Nordeste,7200
Loja 745,Rio Grande do Sul,Sul,8000
Loja 746,Ceará,Nordeste,8500
Loja 747,Roraima,Norte,8200
Loja 748,Acre,Norte,8000
Loja 749,Rio Grande do Norte,Nordeste,7000
Loja 750,São Paulo,Sudeste,7800
Loja 751,Goiás,Centro-Oeste,7800
Loja 752,Acre,Norte,7800
Loja 753,Bahia,Nordeste,7200
Loja 754,Paraíba,Nordeste,7500
Loja 755,Paraná,Sul,7000
Loja 756,São Paulo,Sudeste,7200
Loja 757,Pará,Norte,7200
Loja 758,Maranhão,Nordeste,7800
Loja 759,Paraná,Sul,8200
Loja 760,Alagoas,Nordeste,7000
Loja 761,Pará,Norte,8500
Loja 762,Tocantins,Norte,7500
Loja 763,Rio Grande do Sul,Sul,8000
Loja 764,Rondônia,Norte,7500
Loja 765,Amazonas,Norte,7800
Loja 766,Alagoas,Nordeste,8500
Loja 767,Mato Grosso do Sul,Centro-Oeste,7000
Loja 768,Piauí,Nordeste,7000
Loja 769,Paraná,Sul,8500
Loja 770,Ceará,Nordeste,8200
Loja 771,Santa Catarina,Sul,7200
Loja 772,Espírito Santo,Sudeste,8500
Loja 773,Piauí,Nordeste,7800
Loja 774,Paraíba,Nordeste,7800
Loja 775,Alagoas,Nordeste,7200
Loja 776,Alagoas,Nordeste,7800
Loja 777,Roraima,Norte,7500
Loja 778,Paraná,Sul,8200
Loja 779,Tocantins,Norte,8000
Loja 780,Sergipe,Nordeste,7200
Loja 781,Mato Grosso do Sul,Centro-Oeste,8500
Loja 782,Pará,Norte,7000
Loja 783,São Paulo,Sudeste,7500
Loja 784,Goiás,Centro-Oeste,8200
Loja 785,Espírito Santo,Sudeste,7200
Loja 786,Amazonas,Norte,7800
Loja 787,Mato Grosso do Sul,Centro-Oeste,8200
Loja 788,Rondônia,Norte,7500
Loja 789,Rondônia,Norte,7800
Loja 790,Mato Grosso do Sul,Centro-Oeste,8000
Loja 791,Minas Gerais,Sudeste,8000
Loja 792,Rio Grande do Sul,Sul,7200
Loja 793,Maranhão,Nordeste,7500
Loja 794,Amazonas,Norte,8500
Loja 795,Rondônia,Norte,7500
Loja 796,Alagoas,Nordeste,7000
Loja 797,Sergipe,Nordeste,8200
Loja 798,Goiás,Centro-Oeste,7500
Loja 799,Amazonas,Norte,8200
Loja 800,Paraná,Sul,8000
Loja 801,Alagoas,Nordeste,8000
Loja 802,Mato Grosso do Sul,Centro-Oeste,8200
Loja 803,Maranhão,Nordeste,7200
Loja 804,Rio de Janeiro,Sudeste,7800
Loja 805,Sergipe,Nordeste,8000
Loja 806,Santa Catarina,Sul,7500
Loja 807,Piauí,Nordeste,7000
Loja 808,São Paulo,Sudeste,7000
Loja 809,Piauí,Nordeste,7800
Loja 810,Espírito Santo,Sudeste,7800
Loja 811,Rio de Janeiro,Sudeste,7800
Loja 812,Mato Grosso do Sul,Centro-Oeste,7200
Loja 813,Acre,Norte,7000
Loja 814,Paraná,Sul,8000
Loja 815,Ceará,Nordeste,7500
Loja 816,Tocantins,Norte,7000
Loja 817,Sergipe,Nordeste,7500
Loja 818,Mato Grosso do Sul,Centro-Oeste,8500
Loja 819,Roraima,Norte,7000
Loja 820,Acre,Norte,7000
Loja 821,Pernambuco,Nordeste,8500
Loja 822,Piauí,Nordeste,8500
Loja 823,Amazonas,Norte,8500
Loja 824,Rondônia,Norte,7200
Loja 825,Mato Grosso do Sul,Centro-Oeste,8200
Loja 826,Mato Grosso do Sul,Centro-Oeste,7000
Loja 827,Mato Grosso,Centro-Oeste,8000
Loja 828,São Paulo,Sudeste,7500
Loja 829,Acre,Norte,7000
Loja 830,Mato Grosso,Centro-Oeste,8200
Loja 831,Amapá,Norte,7200
Loja 832,Acre,Norte,7000
Loja 833,Bahia,Nordeste,7800
Loja 834,Rio de Janeiro,Sudeste,7800
Loja 835,Paraíba,Nordeste,8500
Loja 836,Maranhão,Nordeste,8200
Loja 837,Santa Catarina,Sul,7500
Loja 838,Rondônia,Norte,7000
Loja 839,Pará,Norte,8500
Loja 840,Ceará,Nordeste,8500
Loja 841,Rio Grande do Sul,Sul,7200
Loja 842,Pernambuco,Nordeste,7800
Loja 843,Amapá,Norte,7200
Loja 844,Mato Grosso,Centro-Oeste,7800
Loja 845,Rio Grande do Sul,Sul,7000
Loja 846,Minas Gerais,Sudeste,7500
Loja 847,Bahia,Nordeste,7500
Loja 848,Paraná,Sul,7200
Loja 849,Tocantins,Norte,8000
Loja 850,Ceará,Nordeste,8500
Loja 851,Sergipe,Nordeste,8000
Loja 852,Amazonas,Norte,7800
Loja 853,Ceará,Nordeste,7800
Loja 854,Pernambuco,Nordeste,7800
Loja 855,Amazonas,Norte,7800
Loja 856,Ceará,Nordeste,7800
Loja 857,Pernambuco,Nordeste,8500
Loja 858,Minas Gerais,Sudeste,8000
Loja 859,Espírito Santo,Sudeste,7800
Loja 860,Mato Grosso,Centro-Oeste,8200
Loja 861,Amazonas,Norte,8200
Loja 862,Mato Grosso,Centro-Oeste,8200
Loja 863,Amazonas,Norte,8000
Loja 864,São Paulo,Sudeste,7000
Loja 865,Alagoas,Nordeste,8000
Loja 866,Acre,Norte,8000
Loja 867,Amapá,Norte,7000
Loja 868,Sergipe,Nordeste,7000
Loja 869,Bahia,Nordeste,8500
Loja 870,Maranhão,Nordeste,8000
Loja 871,Maranhão,Nordeste,7800
Loja 872,Amazonas,Norte,7500
Loja 873,Santa Catarina,Sul,8200
Loja 874,Ceará,Nordeste,8200
Loja 875,Amazonas,Norte,8500
Loja 876,Rio Grande do Sul,Sul,7800
Loja 877,Sergipe,Nordeste,7500
Loja 878,Pará,Norte,7500
Loja 879,Espírito Santo,Sudeste,7800
Loja 880,Maranhão,Nordeste,7200
Loja 881,Goiás,Centro-Oeste,7800
Loja 882,Maranhão,Nordeste,8500
Loja 883,Sergipe,Nordeste,7000
Loja 884,Santa Catarina,Sul,7500
Loja 885,Pará,Norte,7500
Loja 886,Amapá,Norte,7500
Loja 887,São Paulo,Sudeste,8500
Loja 888,Sergipe,Nordeste,7200
Loja 889,Maranhão,Nordeste,7000
Loja 890,Tocantins,Norte,8000
Loja 891,Minas Gerais,Sudeste,8500
Loja 892,Santa Catarina,Sul,7000
Loja 893,Rio de Janeiro,Sudeste,7800
Loja 894,Amapá,Norte,7200
Loja 895,Sergipe,Nordeste,7500
Loja 896,Mato Grosso do Sul,Centro-Oeste,7200
Loja 897,Santa Catarina,Sul,7200
Loja 898,Paraná,Sul,7000
Loja 899,Ceará,Nordeste,7500
Loja 900,Bahia,Nordeste,7000
Loja 901,Paraíba,Nordeste,8200
Loja 902,Paraíba,Nordeste,7000
Loja 903,Ceará,Nordeste,8500
Loja 904,Rio Grande do Norte,Nordeste,8000
Loja 905,Ceará,Nordeste,8000
Loja 906,Paraná,Sul,7800
Loja 907,Piauí,Nordeste,8000
Loja 908,Ceará,Nordeste,7200
Loja 909,Sergipe,Nordeste,8500
Loja 910,Paraná,Sul,7500
Loja 911,Ceará,Nordeste,7000
Loja 912,Amapá,Norte,7500
Loja 913,Alagoas,Nordeste,7800
Loja 914,Ceará,Nordeste,7800
Loja 915,Rio Grande do Sul,Sul,7200
Loja 916,Rio Grande do Norte,Nordeste,8000
Loja 917,Mato Grosso,Centro-Oeste,8500
Loja 918,Goiás,Centro-Oeste,7800
Loja 919,Rondônia,Norte,8500
Loja 920,Paraná,Sul,7500
Loja 921,Amapá,Norte,8500
Loja 922,Alagoas,Nordeste,8500
Loja 923,Paraná,Sul,8200
Loja 924,Pará,Norte,8200
Loja 925,Rio Grande do Sul,Sul,7800
Loja 926,Paraná,Sul,7800
Loja 927,Amapá,Norte,8200
Loja 928,Goiás,Centro-Oeste,7500
Loja 929,Rio de Janeiro,Sudeste,8500
Loja 930,Bahia,Nordeste,8500
Loja 931,Mato Grosso do Sul,Centro-Oeste,7200
Loja 932,Goiás,Centro-Oeste,8200
Loja 933,Santa Catarina,Sul,8000
Loja 934,Espírito Santo,Sudeste,8000
Loja 935,Paraíba,Nordeste,7800
Loja 936,Mato Grosso,Centro-Oeste,7800
Loja 937,Rio de Janeiro,Sudeste,7800
Loja 938,Paraíba,Nordeste,7800
Loja 939,Paraná,Sul,7200
Loja 940,Roraima,Norte,7500
Loja 941,Mato Grosso,Centro-Oeste,7800
Loja 942,Amapá,Norte,8200
Loja 943,Ceará,Nordeste,8500
Loja 944,Paraná,Sul,7000
Loja 945,Paraná,Sul,8000
Loja 946,Amapá,Norte,8500
Loja 947,Espírito Santo,Sudeste,8500
Loja 948,Amazonas,Norte,7800
Loja 949,Amapá,Norte,8500
Loja 950,Amazonas,Norte,8500
Loja 951,Amapá,Norte,7000
Loja 952,Mato Grosso do Sul,Centro-Oeste,8500
Loja 953,Espírito Santo,Sudeste,7000
Loja 954,Rio de Janeiro,Sudeste,8000
Loja 955,Piauí,Nordeste,7200
Loja 956,Minas Gerais,Sudeste,7800
Loja 957,Maranhão,Nordeste,8000
Loja 958,Pernambuco,Nordeste,7200
Loja 959,Paraíba,Nordeste,8500
Loja 960,Maranhão,Nordeste,7200
Loja 961,Amapá,Norte,7800
Loja 962,Mato Grosso,Centro-Oeste,7200
Loja 963,Rio Grande do Norte,Nordeste,7800
Loja 964,São Paulo,Sudeste,8200
Loja 965,Tocantins,Norte,8500
Loja 966,Rio Grande do Sul,Sul,7000
Loja 967,Ceará,Nordeste,8500
Loja 968,Espírito Santo,Sudeste,7500
Loja 969,Rio Grande do Sul,Sul,8200
Loja 970,Rio de Janeiro,Sudeste,8200
Loja 971,Tocantins,Norte,8500
Loja 972,Roraima,Norte,7800
Loja 973,Alagoas,Nordeste,7200
Loja 974,Santa Catarina,Sul,7800
Loja 975,Mato Grosso do Sul,Centro-Oeste,8500
Loja 976,Sergipe,Nordeste,7200
Loja 977,Espírito Santo,Sudeste,7800
Loja 978,Minas Gerais,Sudeste,8500
Loja 979,Rio Grande do Sul,Sul,8500
Loja 980,Pará,Norte,7200
Loja 981,Paraíba,Nordeste,8000
Loja 982,Paraná,Sul,7200
Loja 983,Pará,Norte,7000
Loja 984,Minas Gerais,Sudeste,8200
Loja 985,Pernambuco,Nordeste,8500
Loja 986,Rio Grande do Sul,Sul,8200
Loja 987,Amazonas,Norte,8500
Loja 988,Pernambuco,Nordeste,7000
Loja 989,Santa Catarina,Sul,7500
Loja 990,Paraíba,Nordeste,7500
Loja 991,São Paulo,Sudeste,8000
Loja 992,Tocantins,Norte,8000
Loja 993,Minas Gerais,Sudeste,7000
Loja 994,Piauí,Nordeste,7200
Loja 995,Pará,Norte,7500
Loja 996,Pernambuco,Nordeste,7000
Loja 997,Rio Grande do Norte,Nordeste,8200
Loja 998,Bahia,Nordeste,8200
Loja 999,Roraima,Norte,7500
Loja 1000,Roraima,Norte,7000
